id,exam,domain,difficulty,question,A,B,C,D,answer,explanation,reference,tags
"ALPHA-001","Alpha","Domain 1 - CMMC Ecosystem","Hard","An OSC asks who conducts authorized third-party CMMC assessments. Which entity is responsible?","C3PAO","Registered Practitioner","Licensed Training Provider","OSC","A","C3PAOs conduct authorized third-party CMMC assessments.","CCP Blueprint v7.4","Ecosystem|C3PAO|Roles"
"ALPHA-002","Alpha","Domain 1 - CMMC Ecosystem","Hard","A company wants implementation advice but not a certified assessment. Which ecosystem role is most appropriate?","C3PAO","Registered Practitioner","DIBCAC","Lead Assessor","B","Registered Practitioners provide advice and consulting but do not conduct certified CMMC assessments.","CCP Blueprint v7.4","Ecosystem|RP|Consulting"
"ALPHA-003","Alpha","Domain 1 - CMMC Ecosystem","Hard","Which entity is the organization being assessed for CMMC certification?","Licensed Partner Publisher","C3PAO","Organization Seeking Certification","Registered Practitioner","C","The OSC is the organization seeking CMMC certification.","CCP Blueprint v7.4","Ecosystem|OSC"
"ALPHA-004","Alpha","Domain 1 - CMMC Ecosystem","Hard","Which role is responsible for leading assessment activities and coordinating assessment team work?","Registered Practitioner","Licensed Training Provider","OSC Sponsor","Lead Assessor","D","The Lead Assessor leads and coordinates assessment activities.","CCP Blueprint v7.4|CAP v5.6","Ecosystem|Lead Assessor"
"ALPHA-005","Alpha","Domain 1 - CMMC Ecosystem","Hard","A training company wants to deliver official CCP training. Which ecosystem entity type is most relevant?","Licensed Training Provider","Registered Provider Organization","OSC","DIBCAC","A","Licensed Training Providers are the ecosystem entities associated with delivering authorized training.","CCP Blueprint v7.4","Ecosystem|LTP|Training"
"ALPHA-006","Alpha","Domain 1 - CMMC Ecosystem","Hard","Which ecosystem participant provides consulting services through registered practitioners but does not perform certified assessments?","C3PAO","Registered Provider Organization","DIBCAC","CQAP","B","RPOs support consulting through registered practitioners but do not perform certified CMMC assessments.","CCP Blueprint v7.4","Ecosystem|RPO"
"ALPHA-007","Alpha","Domain 1 - CMMC Ecosystem","Hard","Which role is associated with verifying assessment documentation completeness and accuracy?","Lead Assessor","OSC Official","CMMC Quality Assurance Professional","Registered Practitioner","C","The CQAP verifies assessment package quality and completeness.","CAP v5.6","Ecosystem|CQAP|Quality"
"ALPHA-008","Alpha","Domain 1 - CMMC Ecosystem","Hard","Which organization is being evaluated against the CMMC practices during an assessment?","C3PAO","Cyber AB","Licensed Partner Publisher","OSC","D","The OSC is the organization whose environment and practices are assessed.","CCP Blueprint v7.4","Ecosystem|OSC"
"ALPHA-009","Alpha","Domain 1 - CMMC Ecosystem","Hard","Which statement best distinguishes a Registered Practitioner from a C3PAO?","A Registered Practitioner may advise clients but does not conduct certified assessments.","A Registered Practitioner issues certifications.","A Registered Practitioner replaces the Lead Assessor.","A Registered Practitioner performs DIBCAC oversight.","A","Registered Practitioners provide advice and recommendations but do not participate in certified assessments.","CCP Blueprint v7.4","Ecosystem|RP|C3PAO"
"ALPHA-010","Alpha","Domain 2 - Code of Professional Conduct","Elite","A practitioner is pressured to ignore unfavorable evidence to preserve a client relationship. Which principles are most directly implicated?","Confidentiality only","Objectivity and Information Integrity","Physical Protection and Media Protection","Scoping and asset categorization","B","Objectivity and Information Integrity require findings to be accurate and evidence-based.","Code of Professional Conduct","CoPC|Objectivity|Information Integrity"
