id,exam,domain,difficulty,question,A,B,C,D,answer,explanation,reference,tags
"SB-341","Study","Domain 4 - Model Construct and Implementation Evaluation","Elite","During testing, assessors observe that privileged access is brokered through a PAM tool, but emergency administrators can bypass PAM using locally cached credentials during outages. Which issue is most significant?","Whether cached credentials preserve accountability and access control intent","Whether the PAM dashboard shows successful logins","Whether outage procedures are approved annually","Whether administrators use complex passwords","A","Emergency access cannot undermine least privilege, accountability, or authentication assurance.","Assessment Guide Level 2; NIST SP 800-171 Rev.2","AC|IA|Privileged Access|Accountability"
"SB-342","Study","Domain 4 - Model Construct and Implementation Evaluation","Elite","An OSC encrypts all CUI traffic crossing the internet, but CUI is replicated unencrypted between internal virtual networks managed by different business units. Which answer is best?","Internal traffic is automatically trusted if firewalls exist","The assessment should consider whether internal paths expose CUI to unauthorized access","Encryption is only relevant for remote users","Business-unit ownership determines whether encryption is required","B","Communications protection depends on actual exposure and authorization boundaries, not assumptions of internal trust.","Assessment Guide Level 2; NIST SP 800-171 Rev.2","SC|CUI Transmission|Internal Boundary"
"SB-343","Study","Domain 5 - CMMC Assessment Process","Elite","A policy, interview, and screenshot all support implementation of session lock. During observation, several systems remain unlocked after the defined inactivity period. What should the assessment team do?","Assign MET because three evidence sources support implementation","Treat observation as irrelevant unless logs confirm it","Reconcile the contradiction and determine actual implementation","Accept the OSC's explanation if users were busy","C","Contradictory evidence must be reconciled before reaching an evidence-based conclusion.","CAP v5.6.1","CAP|Evidence Sufficiency|Test|Observation"
"SB-344","Study","Domain 6 - Scoping","Elite","A cloud identity service authenticates users to CUI systems and enforces conditional access. It stores no CUI. The OSC marks it Out-of-Scope. What is the best concern?","Cloud services cannot be scoped","The service may be a Security Protection Asset because it protects CUI Assets","Identity metadata is always CUI","Only services owned by the OSC can be scoped","B","Security services supporting CUI Assets are generally treated as Security Protection Assets or otherwise scoped through service dependencies.","CMMC Assessment Scope Level 2","Scoping|SPA|Identity|Cloud"
"SB-345","Study","Domain 4 - Model Construct and Implementation Evaluation","Advanced","A contractor uses endpoint detection to monitor developer laptops, but developers may install unsigned build tools without approval. Which principle is most directly weakened?","Media accountability","Least functionality and controlled software execution","Physical access monitoring","Boundary protection logging","B","Monitoring does not replace limiting unnecessary or unauthorized functionality.","Assessment Guide Level 2; NIST SP 800-171 Rev.2","CM|Least Functionality|Software Control"
"SB-346","Study","Domain 4 - Model Construct and Implementation Evaluation","Elite","A badge system controls entry to the CUI processing area, but badge reviews are not performed after role changes. Which issue is most significant?","Badge color standardization","Access authorization may no longer reflect current duties","Visitor logs may be too short","Physical access is unrelated to CUI systems","B","Physical access controls must remain aligned to current authorization needs.","Assessment Guide Level 2","PE|Physical Access|Authorization"
"SB-347","Study","Domain 5 - CMMC Assessment Process","Elite","During Phase 1 readiness review, the OSC provides extensive evidence, but several artifacts are from systems outside the proposed assessment boundary. What should the team focus on first?","Artifact quantity","Evidence relevance to scoped assets and practices","Whether screenshots are high resolution","Whether the OSC has used the same evidence before","B","Evidence must be relevant to the assessed scope and practice objectives.","CAP v5.6.1; Assessment Guide Level 2","CAP|Phase 1|Evidence Relevance|Scope"
"SB-348","Study","Domain 4 - Model Construct and Implementation Evaluation","Elite","A SIEM ingests logs from CUI systems, but audit failure alerts from critical servers are suppressed because they create too many tickets. Which concern is strongest?","Ticket volume management","Loss of visibility into security-relevant events","Whether the SIEM stores CUI","Whether administrators receive weekly summaries","B","Audit and monitoring mechanisms must support detection and response, not merely collect data.","Assessment Guide Level 2; NIST SP 800-171 Rev.2","AU|SI|Monitoring|Alerting"
"SB-349","Study","Domain 4 - Model Construct and Implementation Evaluation","Advanced","Backup media containing CUI are encrypted, but restoration testing is performed using production CUI on unmanaged lab systems. Which risk is most direct?","Backup encryption is unnecessary","CUI may be exposed through restoration processes outside controlled environments","Restoration testing is not allowed","Media protection applies only before backup creation","B","CUI must remain protected throughout backup, transport, restoration, and testing workflows.","Assessment Guide Level 2","MP|CUI|Backups|Testing"
"SB-350","Study","Domain 6 - Scoping","Elite","An ESP manages endpoint security for CUI Assets and can quarantine devices. It cannot view CUI content. Which scoping conclusion is strongest?","The ESP is irrelevant because it cannot read CUI","The service relationship must be considered because it performs protection functions for scoped assets","The ESP is automatically a CUI Asset","Only FedRAMP determines scope","B","External services that protect CUI Assets may be in scope through security protection and service-provider dependencies.","CMMC Assessment Scope Level 2","Scoping|ESP|SPA|Endpoint Security"
"SB-351","Study","Domain 4 - Model Construct and Implementation Evaluation","Elite","Users authenticate with MFA, but password reset requests are approved through email replies from personal accounts during travel. Which concern is most significant?","Travel policy compliance","Weak reset procedures may undermine authentication strength","Email retention","User convenience","B","Credential reset procedures must not bypass authentication assurance.","Assessment Guide Level 2","IA|Credential Management|MFA"
